run,line,from_bus,to_bus,p_mw,q_mvar,delta_v_pu,delta_v_volt,v_drop_expected
0,0,0,1,0.04092440684867649,0.011109825252606287,0.010925441394069701,4.370176557627881,4.3701863161828065
0,1,1,2,0.018958189565387775,0.006379409792918287,0.006833451711971916,2.7333806847887665,2.7035674609681375
0,2,2,3,-0.010741205067286557,-0.0033641500492435825,-0.002811228306338065,-1.124491322535226,-1.1045182326233125
0,3,3,4,-0.019920369289996052,-0.0063468747754739305,-0.004601161141049026,-1.8404644564196104,-1.8129422654200948
0,4,4,0,-0.035133725605735466,-0.010572424764121572,-0.010346503658654527,-4.138601463461811,-4.095756471196895
1,0,0,1,0.038421796487523974,0.012300142979878692,0.01037397876140933,4.149591504563732,4.149683223249366
1,1,1,2,0.019464492512622052,0.006723512966745424,0.007026815581536505,2.810726232614602,2.781633204909302
1,2,2,3,-0.008349473679042395,-0.004377285429911926,-0.0022966829509002418,-0.9186731803600967,-0.9026321352568258
1,3,3,4,-0.019617446534009736,-0.007014671363487031,-0.0045746463614295685,-1.8298585445718274,-1.8021882788535322
1,4,4,0,-0.03578468927034181,-0.010620045936734551,-0.010529465030616025,-4.21178601224641,-4.1674177503938505
2,0,0,1,0.03936582405667055,0.011535275102711795,0.010562320094016253,4.224928037606501,4.224964283234851
2,1,1,2,0.02137266790094818,0.0062200172998607165,0.007618156964647627,3.0472627858590506,3.0150882458697477
2,2,2,3,-0.010761010626080305,-0.003841621982271832,-0.0028476426452713755,-1.1390570581085502,-1.118336559034425
2,3,3,4,-0.020997977629934505,-0.006493383387907657,-0.0048409593732196,-1.93638374928784,-1.906684555448467
2,4,4,0,-0.0357575703778156,-0.010206732853446069,-0.010491875040172904,-4.196750016069162,-4.152709487127297
3,0,0,1,0.043212160829031454,0.012575131008489504,0.011588886610122473,4.635554644048989,4.635594358115385
3,1,1,2,0.020640461469790688,0.007025607863564957,0.0074516292859651,2.98065171438604,2.9461748333053452
3,2,2,3,-0.01266752493117887,-0.004243818418641837,-0.0033373447908047194,-1.3349379163218877,-1.3095103289280388
3,3,3,4,-0.021978827384314253,-0.007376197507007637,-0.005101412374296177,-2.040564949718471,-2.008497845436565
3,4,4,0,-0.03590723956893129,-0.011148122024838366,-0.010601758730986677,-4.240703492394671,-4.195703351152472
4,0,0,1,0.040077692215981564,0.012289697669292332,0.010787366334787496,4.314946533914998,4.315011663330465
4,1,1,2,0.017653801673349824,0.006771520902688205,0.006433121332006131,2.5732485328024524,2.5456003000928913
4,2,2,3,-0.009867172039384912,-0.0036155695878016185,-0.0026144793038033187,-1.0457917215213275,-1.0277705834366073
4,3,3,4,-0.01979470886917723,-0.006973894736999752,-0.004607827425588629,-1.8431309702354515,-1.8161812292248818
4,4,4,0,-0.03364658851601409,-0.011416160053470119,-0.00999818093740168,-3.999272374960672,-3.9591921212534205
5,0,0,1,0.03779872544260243,0.011076818223644702,0.010141898915221215,4.056759566088486,4.056792999851361
5,1,1,2,0.019752989181748774,0.006270054937498708,0.007082234307130175,2.83289372285207,2.8041941842451075
5,2,2,3,-0.009331665709517302,-0.003433414735327826,-0.0024734906018466507,-0.9893962407386603,-0.9723436107873394
5,3,3,4,-0.018850591590757283,-0.006558094169845087,-0.004384046339654946,-1.7536185358619782,-1.727727765360204
5,4,4,0,-0.035320741652931406,-0.010140420636621362,-0.010366596280849794,-4.146638512339917,-4.1036420866603
6,0,0,1,0.038761018730808505,0.011979273739433638,0.010438793826390125,4.17551753055605,4.175583716566693
6,1,1,2,0.02083888080817705,0.006749416636803986,0.007485269825532881,2.9941079302131524,2.962895917565372
6,2,2,3,-0.011718910138615566,-0.0040685129629040645,-0.0030929904341845393,-1.2371961736738157,-1.2150092872410805
6,3,3,4,-0.020605945544155114,-0.006833975962013685,-0.004773966995548107,-1.9095867982192427,-1.8812468968733305
6,4,4,0,-0.03402355392332983,-0.010799707277780684,-0.01005710622219036,-4.022842488876144,-3.9823354811363703
7,0,0,1,0.03948292240201612,0.011902636590069515,0.010614514983136147,4.245805993254459,4.245858154953351
7,1,1,2,0.01783892857322738,0.006950888699318592,0.00650865660373301,2.603462641493204,2.575951868838096
7,2,2,3,-0.009926685668002257,-0.003927097335395004,-0.0026484313068546594,-1.0593725227418638,-1.0412125718450898
7,3,3,4,-0.019224229514445346,-0.006772534574021891,-0.004474411784166965,-1.789764713666786,-1.7638310398418904
7,4,4,0,-0.033724003401255045,-0.011153038741094445,-0.010000328495847532,-4.000131398339013,-3.960053971456736
8,0,0,1,0.037905048736556424,0.011610423204616693,0.010201769834804697,4.080707933921879,4.080765453771061
8,1,1,2,0.018810645526391997,0.006751490216257718,0.006811183383897856,2.7244733535591426,2.6967600201376474
8,2,2,3,-0.009010222507391977,-0.003396466962897592,-0.002392948768360381,-0.9571795073441525,-0.9408828122746777
8,3,3,4,-0.019868738341834974,-0.006685243867114391,-0.004607535263372986,-1.8430141053491944,-1.8160493857906541
8,4,4,0,-0.03376547103390619,-0.011162886327546754,-0.010012469186969186,-4.0049876747876745,-3.9648131319969506
9,0,0,1,0.03824856566964874,0.012400125907165993,0.010336894965311205,4.134757986124482,4.1348597146440245
9,1,1,2,0.017580894091301175,0.006905236181270845,0.006417381438508563,2.566952575403425,2.54054407060117
9,2,2,3,-0.009511781502768291,-0.004316608111684108,-0.0025720242108159264,-1.0288096843263705,-1.0115344455550905
9,3,3,4,-0.01928869407777645,-0.0070471795172821995,-0.004502161343758138,-1.800864537503255,-1.77528825191343
9,4,4,0,-0.03260709266796265,-0.01097914593089808,-0.009680090849245704,-3.8720363396982815,-3.8344716671705608
